
 (220132) Acessou página financeira. Isto através do IP: 179.55.234.7, na data 02 às 19:29.

 (220132) Acessou página financeira. Isto através do IP: 179.55.234.7, na data 02 às 19:33.

 (220132) Acessou página financeira. Isto através do IP: 179.55.234.7, na data 02 às 19:34.

 (220132) Acessou página financeira. Isto através do IP: 179.55.234.7, na data 02 às 19:36.

 (220132) Acessou página financeira. Isto através do IP: 179.55.234.7, na data 02 às 19:36.

 (220132) Acessou página financeira. Isto através do IP: 179.55.234.7, na data 02 às 19:37.

 (220132) Acessou página financeira. Isto através do IP: 179.55.234.7, na data 02 às 19:37.

 (220132) Acessou página financeira. Isto através do IP: 179.55.234.7, na data 02 às 19:38.

 (220132) Acessou página financeira. Isto através do IP: 179.55.234.7, na data 02 às 19:38.

 (220132) Acessou página financeira. Isto através do IP: 179.55.234.7, na data 02 às 19:39.

 (220132) Acessou página financeira. Isto através do IP: 179.55.234.7, na data 02 às 19:40.

 (220132) Acessou página financeira. Isto através do IP: 179.55.234.7, na data 02 às 19:40.

 (220132) Acessou página financeira. Isto através do IP: 179.55.234.7, na data 02 às 19:43.

 (220132) Acessou o portal. Isto através do IP: 179.55.234.7, na data 02 às 20:00.

 (220132) Acessou o portal. Isto através do IP: 179.55.234.7, na data 02 às 20:00.

 (220132) Acessou o portal. Isto através do IP: 179.55.234.7, na data 02 às 20:00.

 (220132) Acessou o portal. Isto através do IP: 179.55.234.7, na data 02 às 20:01.

 (220132) Acessou o portal. Isto através do IP: 179.55.234.7, na data 02 às 20:02.

 (220132) Acessou o portal. Isto através do IP: 179.55.234.7, na data 02 às 20:03.

 (220132) Acessou o portal. Isto através do IP: 179.55.234.7, na data 02 às 20:04.

 (220132) Acessou o portal. Isto através do IP: 179.55.234.7, na data 02 às 20:04.

 (220132) Acessou o portal. Isto através do IP: 179.55.234.7, na data 02 às 20:26.

Rafael Vieira de O Silva (220132) Postou o evento Culto da Virada - 31/12. Isto através do IP: 179.55.234.7, na data 03 às 09:05.

Rafael Vieira de O Silva (220132) Postou o evento Culto da Virada - 31/12. Isto através do IP: 179.55.234.7, na data 03 às 09:27.

 (220132) Acessou o portal. Isto através do IP: 179.250.165.54, na data 03 às 12:40.

 (220132) Acessou página financeira. Isto através do IP: 179.250.165.54, na data 03 às 13:18.

 (220132) Acessou página financeira. Isto através do IP: 179.250.165.54, na data 03 às 13:19.

 (220132) Acessou o portal. Isto através do IP: 179.250.165.54, na data 03 às 13:19.

 (220132) Acessou o portal. Isto através do IP: 179.250.165.54, na data 03 às 13:45.

 (220132) Acessou o portal. Isto através do IP: 179.250.167.228, na data 05 às 23:15.

 (220132) Acessou o portal da transparência. Isto através do IP: 179.250.167.228, na data 05 às 23:34.

 (220132) Acessou o portal. Isto através do IP: 179.250.167.228, na data 05 às 23:34.

 (220132) Acessou o portal. Isto através do IP: 179.250.167.228, na data 06 às 00:31.

 (220132) Acessou o portal. Isto através do IP: 179.250.167.228, na data 06 às 00:42.

 (220132) Acessou página financeira. Isto através do IP: 179.250.167.228, na data 06 às 00:47.

 (220132) Acessou página financeira. Isto através do IP: 179.250.167.228, na data 06 às 00:48.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 00:52.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 00:52.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 00:52.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 01:00.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 01:00.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 01:03.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 01:13.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 01:14.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 01:15.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 01:15.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 01:15.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 01:16.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 01:26.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 01:27.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 01:27.

 (220132) Acessou página financeira. Isto através do IP: 179.250.167.228, na data 06 às 01:28.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 01:30.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 01:31.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 01:34.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 01:34.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 01:35.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 01:37.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 01:37.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 01:37.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 01:38.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 01:42.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 01:42.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 01:43.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 01:49.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 01:50.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 01:51.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 01:51.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 01:53.

